"Wallet Address","Tier","Tier Deposit Limit (VPND)","Deposited VPND","Wallet Points","Combined Points","VAPE Claimed","VAPE Value (USD)","Original Fee (USD)","Dynamic Fee (USD)","Original ROI (x)","Dynamic ROI (x)","Original Profit/Loss (USD)","Dynamic Profit/Loss (USD)","Original Profitable?","Dynamic Profitable?"
"0xd3dff402b74563b559c620a5c56ad2f048587c1c","9","12,000,000","11,500,000","334,777,864.42","334,339,186.05","1787.4742","286.00","75.00","19.80","3.81","14.44","211.00","266.19","Yes","Yes"
"0xd5c69e00b28034068bceba48a64213e52ef7b1e0","9","12,000,000","7,145,342.69","216,662,395.74","216,244,198.03","1156.8221","185.09","75.00","19.80","2.47","9.35","110.09","165.29","Yes","Yes"
"0x97adf680aaaf803018c0204cf1be1da258cb14ae","9","12,000,000","7,061,878.63","216,422,964.22","216,005,077.82","1155.5438","184.89","75.00","19.80","2.47","9.34","109.89","165.09","Yes","Yes"
"0x7ce921b5ae5afd8063f70b40d44097f6d4c8871f","9","12,000,000","6,975,059.9","211,606,700.02","211,462,432.6","1129.8283","180.77","75.00","19.80","2.41","9.13","105.77","160.97","Yes","Yes"
"0x5d0fce0faea808649c3d4ce3ac9f841b6295e1af","9","12,000,000","5,230,648.57","161,333,616.71","160,897,748.83","861.4061","137.82","75.00","19.80","1.84","6.96","62.82","118.02","Yes","Yes"
"0x957a200dc62e4378ffddc93ae6cfea39601e5831","8","4,500,000","4,500,000","135,315,741.77","234,606,938.3","722.4892","115.60","50.00","13.20","2.31","8.76","65.60","102.40","Yes","Yes"
"0x3a8f7b4324610eead8f6b34f8717e1f18bac4c46","8","4,500,000","4,500,000","135,306,234","135,117,000","722.4385","115.59","50.00","13.20","2.31","8.76","65.59","102.39","Yes","Yes"
"0xd9366e6595ab1a5c137c605a6b90737aa8725f0f","8","4,500,000","3,286,160.72","99,483,206.6","234,606,938.3","531.1691","84.99","50.00","13.20","1.70","6.44","34.99","71.79","Yes","Yes"
"0xb6e87d208c8bf543ca5aedc452a7eafe442fae10","8","4,500,000","2,751,059.48","82,531,784.42","0","440.6607","70.51","50.00","13.20","1.41","5.34","20.51","57.30","Yes","Yes"
"0x11b248f27a753ec44ac2c699445e20d5c7f7aa0a","7","1,800,000","1,799,999","55,187,362.96","55,084,394.17","294.6610","47.15","30.00","7.92","1.57","5.95","17.15","39.22","Yes","Yes"
"0xa15704171245d148206a8f1240eb51cf3dadc368","7","1,800,000","1,800,000","52,200,000","0","278.7106","44.59","30.00","7.92","1.49","5.63","14.59","36.67","Yes","Yes"
"0x81fe73a6fb28c49c14c82fcae2a4fe19f57d150c","7","1,800,000","1,800,000","52,200,000","0","278.7106","44.59","30.00","7.92","1.49","5.63","14.59","36.67","Yes","Yes"
"0x9e4c71b315982ad19d218ca99fa29c1d2f600119","7","1,800,000","1,800,000","50,400,000","50,400,000","269.0999","43.06","30.00","7.92","1.44","5.44","13.06","35.14","Yes","Yes"
"0x8f60fa5a89b9aa01ba6b32ca1641e69ae8d0bafb","7","1,800,000","1,510,628.39","44,322,747.04","44,240,308.93","236.6518","37.86","30.00","7.92","1.26","4.78","7.86","29.94","Yes","Yes"
"0x98a23fca1b642b54a95565503e6662bb814bb824","7","1,800,000","1,800,000","38,477,001.65","54,677,001.65","205.4397","32.87","30.00","7.92","1.10","4.15","2.87","24.95","Yes","Yes"
"0xed5f92f2c2d562f981a13521d421f5a1ff927f59","6","800,000","800,000","24,800,196.73","24,733,183.81","132.4153","21.19","15.00","3.96","1.41","5.35","6.19","17.23","Yes","Yes"
"0x64456ad298f0972daf26aa1d23af93a2962eba0e","6","800,000","800,000","24,656,239.76","24,608,622.51","131.6467","21.06","15.00","3.96","1.40","5.32","6.06","17.10","Yes","Yes"
"0x77847c5da38dc3d385b1753392c0b7ce64536930","6","800,000","800,000","24,655,918.85","24,655,918.85","131.6450","21.06","15.00","3.96","1.40","5.32","6.06","17.10","Yes","Yes"
"0x1a7896295222038d2aeeb8b621d32bd9cb88d4e2","6","800,000","800,000","24,500,905.26","24,453,598.07","130.8173","20.93","15.00","3.96","1.40","5.29","5.93","16.97","Yes","Yes"
"0xf9c9cdf8d95c211188313f7d3ec29128fb900872","6","800,000","800,000","24,020,806.4","24,020,806.4","128.2539","20.52","15.00","3.96","1.37","5.18","5.52","16.56","Yes","Yes"
"0xaf35cde2e2e1e68356f48c013613a3955d5dc6b6","6","800,000","800,000","24,001,600","24,000,000","128.1514","20.50","15.00","3.96","1.37","5.18","5.50","16.54","Yes","Yes"
"0x365c46cfea1855c82f5544d76b5e5fbe2d628985","6","800,000","800,000","24,000,000","24,000,000","128.1428","20.50","15.00","3.96","1.37","5.18","5.50","16.54","Yes","Yes"
"0x379949eb8ee41b121e2b54f990154ac31126c9fe","6","800,000","800,000","23,617,453.74","23,617,453.74","126.1003","20.18","15.00","3.96","1.35","5.09","5.18","16.22","Yes","Yes"
"0x294b3782aef0848f8bb233172cc46eff8b1d3c49","6","800,000","800,000","23,200,000","0","123.8714","19.82","15.00","3.96","1.32","5.00","4.82","15.86","Yes","Yes"
"0xa176c9630f02a71f9fcffe88922ec0d52b428d7d","6","800,000","800,000","22,400,000","0","119.6000","19.14","15.00","3.96","1.28","4.83","4.14","15.18","Yes","Yes"
"0xa70d11752e0b6c2ad026cf60c4114d8c6909df6b","6","800,000","704,432","21,132,960","21,132,960","112.8349","18.05","15.00","3.96","1.20","4.56","3.05","14.09","Yes","Yes"
"0x980ece433b54caa56251d050cb90e706871cec8d","6","800,000","556,318","16,860,848.26","16,829,414.7","90.0249","14.40","15.00","3.96","0.96","3.64","-0.60","10.44","No","Yes"
"0x41845e0384535423b6a3d64c79cf5721bdb87a1f","6","800,000","550,800","16,524,000","0","88.2263","14.12","15.00","3.96","0.94","3.56","-0.88","10.16","No","Yes"
"0x386344dece8caddaa272dc29a866fc7729f4ad8e","6","800,000","520,400","15,612,000","0","83.3569","13.34","15.00","3.96","0.89","3.37","-1.66","9.38","No","Yes"
"0x2a6d8c30e25af6d6f0c5dcc1455352c0c8cfaf31","6","800,000","512,309.93","15,369,297.84","15,369,297.84","82.0611","13.13","15.00","3.96","0.88","3.32","-1.87","9.17","No","Yes"
"0x72aa6125c2a93d0c5bbadd524718f5e4d13cd1c5","6","800,000","795,500","12,728,000","0","67.9584","10.87","15.00","3.96","0.72","2.75","-4.13","6.91","No","Yes"
"0xfdd498c312cb5aac919e830d6315290d2be190c7","5","350,000","350,000","10,747,086.16","10,726,333.5","57.3817","9.18","8.00","2.11","1.15","4.35","1.18","7.07","Yes","Yes"
"0xa3fb39949dfe8040f42378cf66dc7f90719150d9","5","350,000","350,000","10,682,557.9","10,661,934.03","57.0372","9.13","8.00","2.11","1.14","4.32","1.13","7.01","Yes","Yes"
"0xff61a30a954367758552d5fd9ce7a28369898496","5","350,000","349,000","10,513,400.44","10,499,381.68","56.1340","8.98","8.00","2.11","1.12","4.25","0.98","6.87","Yes","Yes"
"0x76da553883cd6f24fb6b3cda16d273b93a65ada8","5","350,000","350,000","10,500,000","10,500,000","56.0625","8.97","8.00","2.11","1.12","4.25","0.97","6.86","Yes","Yes"
"0x445715d1f5a737d71de630d73e3ae3fc303712bf","5","350,000","350,000","10,500,000","0","56.0625","8.97","8.00","2.11","1.12","4.25","0.97","6.86","Yes","Yes"
"0x041c60e0962f8d8791aa683cd450aec42d5ffca0","5","350,000","350,000","10,500,000","0","56.0625","8.97","8.00","2.11","1.12","4.25","0.97","6.86","Yes","Yes"
"0x8065bed17ac2686ef9c5b706bf39188e4ed19719","5","350,000","350,000","10,150,000","0","54.1937","8.67","8.00","2.11","1.08","4.11","0.67","6.56","Yes","Yes"
"0xad1be47f4f502b165af5c88cec7c5f52953aa005","5","350,000","278,500","8,415,990.13","8,401,971.18","44.9354","7.19","8.00","2.11","0.90","3.40","-0.81","5.08","No","Yes"
"0xff8c87595495750f407bb94dd35ef7db034fdb59","5","350,000","290,904.79","8,091,951.24","7,366,017.07","43.2052","6.91","8.00","2.11","0.86","3.27","-1.09","4.80","No","Yes"
"0x5c263db138be88737ad66c01428ff847861ad8f1","5","350,000","264,546.55","8,081,337.59","8,065,735.22","43.1486","6.90","8.00","2.11","0.86","3.27","-1.10","4.79","No","Yes"
"0x818cdfedc8578fef02dc0d0aeec1448a450ea467","5","350,000","252,832.14","7,584,964.26","0","40.4983","6.48","8.00","2.11","0.81","3.07","-1.52","4.37","No","Yes"
"0x19bc5de9f3f1e438bdfeea5d8cc808f1144aa194","5","350,000","251,724","7,551,720","7,551,720","40.3208","6.45","8.00","2.11","0.81","3.05","-1.55","4.34","No","Yes"
"0x1c176951b49963bbd7b5bd8a0dcdfefbe8ce0977","5","350,000","242,028.1","7,406,419.5","7,392,119.31","39.5450","6.33","8.00","2.11","0.79","3.00","-1.67","4.21","No","Yes"
"0x2d41e869993b91270fae00823622f2f9c7925ab5","5","350,000","348,553.25","6,971,064.99","0","37.2205","5.96","8.00","2.11","0.74","2.82","-2.04","3.84","No","Yes"
"0x2dba82021c355a0239e951c8c93dcf1e9b82246f","5","350,000","289,541.88","5,611,031.77","5,600,987.96","29.9589","4.79","8.00","2.11","0.60","2.27","-3.21","2.68","No","Yes"
"0x2795f97541e6b9af8213a5b491e6f20f23b8ed0b","4","150,000","150,000","4,502,102.4","4,500,900.6","24.0380","3.85","4.00","1.06","0.96","3.64","-0.15","2.79","No","Yes"
"0xd8c0d5523824994d43743f94dab72f16b306b248","4","150,000","150,000","4,500,000","0","24.0268","3.84","4.00","1.06","0.96","3.64","-0.16","2.79","No","Yes"
"0xccf81389129f506d2a278e1ace0b6fa942a6b4a4","4","150,000","150,000","4,500,000","4,500,000","24.0268","3.84","4.00","1.06","0.96","3.64","-0.16","2.79","No","Yes"
"0xc28e635715b808494187941bbb26248e1ce8e1b2","4","150,000","150,000","4,500,000","0","24.0268","3.84","4.00","1.06","0.96","3.64","-0.16","2.79","No","Yes"
"0x556e1e264994b18e166d2d8c4912d9189eb168b5","4","150,000","150,000","4,500,000","0","24.0268","3.84","4.00","1.06","0.96","3.64","-0.16","2.79","No","Yes"
"0x45de9a46375408d9acfe241e29c59ca2b1d19a22","4","150,000","150,000","4,500,000","0","24.0268","3.84","4.00","1.06","0.96","3.64","-0.16","2.79","No","Yes"
"0x126ec9c6dc8ce7f834f2302cfcf57d526add8013","4","150,000","150,000","4,500,000","4,500,000","24.0268","3.84","4.00","1.06","0.96","3.64","-0.16","2.79","No","Yes"
"0x8c9524d7756c3f87ac3a174fc93f193260a3729a","4","150,000","143,351.9","4,162,652.55","4,157,205.18","22.2256","3.56","4.00","1.06","0.89","3.37","-0.44","2.50","No","Yes"
"0x5ad4f60eead27b5036aaebfa17016aef4e79d920","4","150,000","150,000","4,050,000","0","21.6241","3.46","4.00","1.06","0.86","3.28","-0.54","2.40","No","Yes"
"0x32e6557a77724385732df7112eb7693115171d3e","4","150,000","150,000","3,900,000","0","20.8232","3.33","4.00","1.06","0.83","3.15","-0.67","2.28","No","Yes"
"0x97f46368175b980b7124e38f0af4daac008a058f","4","150,000","129,727.05","3,762,084.4","0","20.0868","3.21","4.00","1.06","0.80","3.04","-0.79","2.16","No","Yes"
"0xe1eaf4834316cc6d6c90cea7dfae52224664690c","4","150,000","150,000","3,604,500","3,600,000","19.2455","3.08","4.00","1.06","0.77","2.92","-0.92","2.02","No","Yes"
"0x34d3e737cc228aaebea03ec8e98426ee3748b30a","5","350,000","270,322.26","3,514,189.43","0","18.7633","3.00","8.00","2.11","0.38","1.42","-5.00","0.89","No","Yes"
"0x804acfdffdf8d09af6abf7b4c48ccc690a36fd29","4","150,000","140,502.36","3,372,056.63","0","18.0044","2.88","4.00","1.06","0.72","2.73","-1.12","1.82","No","Yes"
"0x1635ce4325eb96817610255fed3b39273deea95e","5","350,000","300,000.01","3,300,000.1","0","17.6196","2.82","8.00","2.11","0.35","1.33","-5.18","0.71","No","Yes"
"0xb84180c2d8ef3d07d2bf8e0a20960bd12a879c88","4","150,000","109,735","3,182,315","0","16.9913","2.72","4.00","1.06","0.68","2.57","-1.28","1.66","No","Yes"
"0xc16f48ce7c684c9f9801c536a9adaec82d22ffec","4","150,000","117,102.28","2,959,835.92","2,954,161.8","15.8034","2.53","4.00","1.06","0.63","2.39","-1.47","1.47","No","Yes"
"0xaa3c5ab4627d5114e1565d4b483a93c9b8925628","4","150,000","96,170.41","2,885,112.39","0","15.4044","2.46","4.00","1.06","0.62","2.33","-1.54","1.41","No","Yes"
"0x3dad445ebde7815fede16604f2d1e98dfa7c78f1","4","150,000","99,250.18","2,878,255.28","0","15.3678","2.46","4.00","1.06","0.61","2.33","-1.54","1.40","No","Yes"
"0x2ab9f95d1e1cf102785ea9b71c97ea9ae50ed763","4","150,000","91,000","2,736,122.33","2,732,548","14.6089","2.34","4.00","1.06","0.58","2.21","-1.66","1.28","No","Yes"
"0x83771c019a51462a3407c54345a02dc8c6a85108","4","150,000","119,911.84","2,638,060.55","0","14.0854","2.25","4.00","1.06","0.56","2.13","-1.75","1.20","No","Yes"
"0x632a8281c898ae05c33305fd5c1deccc21e2e10b","4","150,000","150,000","2,550,000","0","13.6152","2.18","4.00","1.06","0.54","2.06","-1.82","1.12","No","Yes"
"0x484464bf49f57b1a0d45621a631c8d2ee17035eb","3","60,000","60,000","1,839,326.05","1,836,014.03","9.8207","1.57","2.00","0.53","0.79","2.98","-0.43","1.04","No","Yes"
"0x0bf5f13833cb7d1c6c1399ea6c4ec8aaab4b5639","3","60,000","60,000","1,831,917.09","1,828,500.09","9.7811","1.56","2.00","0.53","0.78","2.96","-0.44","1.04","No","Yes"
"0xea11381ada3590103d756f01e1c492ffe94d9f2f","3","60,000","60,000","1,800,000","1,800,000","9.6107","1.54","2.00","0.53","0.77","2.91","-0.46","1.01","No","Yes"
"0xaa1b8e331c0177a0ec38827ea5ba015a41c3e341","3","60,000","60,000","1,800,000","0","9.6107","1.54","2.00","0.53","0.77","2.91","-0.46","1.01","No","Yes"
"0x9b29082e51e24dc8b91497cba7e5ac597b9aa7f6","3","60,000","60,000","1,800,000","0","9.6107","1.54","2.00","0.53","0.77","2.91","-0.46","1.01","No","Yes"
"0x3ae67635546101605e6e48ad74bf09c7fb4b0e78","7","1,800,000","1,800,000","1,800,000","1,800,000","9.6107","1.54","30.00","7.92","0.05","0.19","-28.46","-6.38","No","No"
"0xca54fa35a5b545c1564f9373255e29d30192f6e7","3","60,000","59,497.33","1,794,849.39","1,792,929.45","9.5832","1.53","2.00","0.53","0.77","2.90","-0.47","1.01","No","Yes"
"0xc8f8a1e764afaf012d296a60b32e0e17e1693a85","3","60,000","60,000","1,740,000","0","9.2904","1.49","2.00","0.53","0.74","2.81","-0.51","0.96","No","Yes"
"0x86a69e4fa797262e9cb539155adf1ae6681a9766","3","60,000","60,000","1,740,000","0","9.2904","1.49","2.00","0.53","0.74","2.81","-0.51","0.96","No","Yes"
"0x397fcacc9b35d464ed4ec2330d6b5172b61a5822","3","60,000","60,000","1,740,000","0","9.2904","1.49","2.00","0.53","0.74","2.81","-0.51","0.96","No","Yes"
"0x105156087fc2f383f5002465f0fdeb94da6c8a80","3","60,000","60,000","1,740,000","0","9.2904","1.49","2.00","0.53","0.74","2.81","-0.51","0.96","No","Yes"
"0xbe617e01a5cc450360a7dc27fe410557dab04769","3","60,000","60,000","1,620,360","1,620,000","8.6516","1.38","2.00","0.53","0.69","2.62","-0.62","0.86","No","Yes"
"0xb6ad6c7021bf0b3f250fb52e4b68f01cd31464e8","3","60,000","60,000","1,620,000","1,620,000","8.6496","1.38","2.00","0.53","0.69","2.62","-0.62","0.86","No","Yes"
"0xa2bff46104c5db0fceee9d11db0e5bf671d4f3bb","3","60,000","59,480","1,605,960","0","8.5747","1.37","2.00","0.53","0.69","2.60","-0.63","0.84","No","Yes"
"0x9bb72715c2a9edc1c453c076316fef90c9d462fd","3","60,000","60,000","1,528,901.87","1,526,448.98","8.1632","1.31","2.00","0.53","0.65","2.47","-0.69","0.78","No","Yes"
"0xb6f66338a50c9d8ab4e8cd516ad8aacce8b5028d","3","60,000","60,000","1,500,000","0","8.0089","1.28","2.00","0.53","0.64","2.43","-0.72","0.75","No","Yes"
"0x879ba6320c909ef3487ba6f5de7361299be78c9f","3","60,000","59,530.79","1,490,769.96","1,488,269.66","7.9596","1.27","2.00","0.53","0.64","2.41","-0.73","0.75","No","Yes"
"0x0a5dbaf976c91b12e448071316d89b215e318d70","3","60,000","52,512.05","1,480,673.19","1,477,822.56","7.9057","1.26","2.00","0.53","0.63","2.40","-0.74","0.74","No","Yes"
"0x90921efeb37a66ee59621fc196087cbf2c27618f","3","60,000","60,000","1,440,000","0","7.6886","1.23","2.00","0.53","0.62","2.33","-0.77","0.70","No","Yes"
"0xe614f620e1ad131d9ef45343548c064faeff25af","3","60,000","52,418.13","1,415,708.97","1,415,289.63","7.5589","1.21","2.00","0.53","0.60","2.29","-0.79","0.68","No","Yes"
"0xe505ca94809baf9340fe0af280ec7143d37b9ae4","3","60,000","44,535.49","1,301,932.72","1,299,511.83","6.9514","1.11","2.00","0.53","0.56","2.11","-0.89","0.58","No","Yes"
"0xab5a2d367a3ef6888caabe20c4b701badd87e58b","3","60,000","60,000","1,277,674.54","1,275,363.81","6.8219","1.09","2.00","0.53","0.55","2.07","-0.91","0.56","No","Yes"
"0x8b94627cf07aaedd57a6dea21fecf3ea533f29f1","3","60,000","36,105.12","1,105,496.84","1,102,510.91","5.9026","0.94","2.00","0.53","0.47","1.79","-1.06","0.42","No","Yes"
"0x67d6f5ad8e142f9b4907b19f680b8503c6893303","3","60,000","36,564.17","988,475.89","987,232.71","5.2778","0.84","2.00","0.53","0.42","1.60","-1.16","0.32","No","Yes"
"0x5224bfae51b4320b1207f7b059b10946ff4e9314","3","60,000","60,000","900,480","900,000","4.8079","0.77","2.00","0.53","0.38","1.46","-1.23","0.24","No","Yes"
"0x00c0118a4c8ceecc2453f2cae0e31ef35e752754","2","25,000","24,656.26","739,687.89","739,687.89","3.9494","0.63","1.00","0.26","0.63","2.39","-0.37","0.37","No","Yes"
"0xbfc246fc6cc9f0e7860c208bb6ea7c1c9003294d","2","25,000","24,184.51","738,502.65","737,173.41","3.9431","0.63","1.00","0.26","0.63","2.39","-0.37","0.37","No","Yes"
"0xb7f563b9660e4b0aa3729ba1e87d3cff0382816d","2","25,000","25,000","735,591.54","734,173.19","3.9275","0.63","1.00","0.26","0.63","2.38","-0.37","0.36","No","Yes"
"0xb847f453ec067377214f90a20826afddf0319eb2","2","25,000","24,173","701,017","0","3.7429","0.60","1.00","0.26","0.60","2.27","-0.40","0.33","No","Yes"
"0xaa5fbd4ffa50f8df3afea0ff936ee62485725554","2","25,000","25,000","700,000","0","3.7375","0.60","1.00","0.26","0.60","2.26","-0.40","0.33","No","Yes"
"0x063c2cb6aa70fcb1410f2f455f153d0664e92369","2","25,000","17,914.24","501,598.79","0","2.6782","0.43","1.00","0.26","0.43","1.62","-0.57","0.16","No","Yes"
"0x5cc65e0f2ed2997d4ff074942e4f56c20a519a1d","2","25,000","25,000","475,000","0","2.5362","0.41","1.00","0.26","0.41","1.54","-0.59","0.14","No","Yes"
"0xe3ee5c72b08c89eb79d9a3f144e3bbc63c388986","2","25,000","13,734.36","412,030.91","412,030.91","2.2000","0.35","1.00","0.26","0.35","1.33","-0.65","0.09","No","Yes"
"0xc0af8fc8d99452639201eda3adc3c997e7c6e7b7","2","25,000","18,766.78","399,470.78","398,785.81","2.1329","0.34","1.00","0.26","0.34","1.29","-0.66","0.08","No","Yes"
"0x1dad04c41f82b2cd932c2edf79e28d81bc57bc39","1","10,000","10,000","304,824.36","304,255.85","1.6275","0.26","0.50","0.13","0.52","1.97","-0.24","0.13","No","Yes"
"0x9a862c5cb00cd7bcf9e8f6b9b8506d117afaacab","2","25,000","11,674.72","303,542.67","0","1.6207","0.26","1.00","0.26","0.26","0.98","-0.74","-0.00","No","No"
"0xcdb40cfb1dff93b0904b46fe4db42d892205e1ae","1","10,000","10,000","300,480","300,000","1.6043","0.26","0.50","0.13","0.51","1.94","-0.24","0.12","No","Yes"
"0xb8423034aa5f0f4359228776275ba9e384c18a0c","1","10,000","10,000","300,000","300,000","1.6018","0.26","0.50","0.13","0.51","1.94","-0.24","0.12","No","Yes"
"0x335977b2165dabe24fa0acc284adee6bc2760e8f","1","10,000","10,000","300,000","0","1.6018","0.26","0.50","0.13","0.51","1.94","-0.24","0.12","No","Yes"
"0x160cf6551ee3d910f673af762d5a2f1bd4855be1","1","10,000","9,996.2","299,886.02","299,886.02","1.6012","0.26","0.50","0.13","0.51","1.94","-0.24","0.12","No","Yes"
"0x27a90a6825132eb88e8feaafe035658663c8944f","3","60,000","32,648.77","261,190.17","0","1.3946","0.22","2.00","0.53","0.11","0.42","-1.78","-0.30","No","No"
"0x084c058bad49a6382090cc5fdab4ab6f64c97349","1","10,000","10,000","240,000","120,000","1.2814","0.21","0.50","0.13","0.41","1.55","-0.29","0.07","No","Yes"
"0x043ed3a18e640e5cc6ec571db07fa7a440234d74","1","10,000","9,341","214,843","0","1.1471","0.18","0.50","0.13","0.37","1.39","-0.32","0.05","No","Yes"
"0xdbce6ced778e6ced746e7ede2bc1babe4de993d0","1","10,000","9,762.16","184,118.19","159,586.3","0.9831","0.16","0.50","0.13","0.31","1.19","-0.34","0.03","No","Yes"
"0xd8427794f8e9af9bc0e027eb9d4d3ee63b2491b3","0","5,000","5,000","150,350.24","150,120","0.8028","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0x743fe0b59467e55224220ab61b69da821d09bd6e","0","5,000","5,000","150,200","150,000","0.8020","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xad65bba08c7fa4fd7590c052624dbd91c76fb2fe","0","5,000","5,000","150,070","150,000","0.8013","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xf613419a0729d256ebedf4c0f6a4601b164c4f30","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xf5b66164ea2b41cd831fd90a34a53a2c19f1ed8f","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xdc23d96c2288d2e8ec71a098469c63a688b1b916","0","5,000","5,000","150,000","0","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xce833bb28d15455af31af5a30c4626bf2939e389","0","5,000","5,000","150,000","150,000","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
"0xb72ad48aa021c977c9b6473002d2e07701629e66","0","5,000","5,000","150,000","150,000","0.8009","0.13","0.00","0.00","N/A","N/A","N/A","N/A","Free Tier","Free Tier"
